"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","LengthOfStay","NumberOfStays"
"1997/98","S08000017"," ","SMR04"," ","< 1 day",15
"1997/98","S08000017"," ","SMR04"," ","1 - 7 days",190
"1997/98","S08000017"," ","SMR04"," ","8 - 28 days",250
"1997/98","S08000017"," ","SMR04"," ","29 days - 6 months",280
"1997/98","S08000017"," ","SMR04"," ","> 6 months",70
"1997/98","S08000017"," ","Total","d","< 1 day",50
"1997/98","S08000017"," ","Total","d","1 - 7 days",315
"1997/98","S08000017"," ","Total","d","8 - 28 days",295
"1997/98","S08000017"," ","Total","d","29 days - 6 months",295
"1997/98","S08000017"," ","Total","d","> 6 months",70
"1997/98","S08000029"," ","SMR01"," ","< 1 day",65
"1997/98","S08000029"," ","SMR01"," ","1 - 7 days",130
"1997/98","S08000029"," ","SMR01"," ","8 - 28 days",30
"1997/98","S08000029"," ","SMR01"," ","29 days - 6 months",25
"1997/98","S08000029"," ","SMR01"," ","> 6 months",5
"1997/98","S08000029"," ","SMR04"," ","< 1 day",25
"1997/98","S08000029"," ","SMR04"," ","1 - 7 days",460
"1997/98","S08000029"," ","SMR04"," ","8 - 28 days",580
"1997/98","S08000029"," ","SMR04"," ","29 days - 6 months",540
"1997/98","S08000029"," ","SMR04"," ","> 6 months",125
"1997/98","S08000029"," ","Total","d","< 1 day",90
"1997/98","S08000029"," ","Total","d","1 - 7 days",590
"1997/98","S08000029"," ","Total","d","8 - 28 days",610
"1997/98","S08000029"," ","Total","d","29 days - 6 months",565
"1997/98","S08000029"," ","Total","d","> 6 months",125
"1997/98","S08000019"," ","SMR01"," ","< 1 day",30
"1997/98","S08000019"," ","SMR01"," ","1 - 7 days",130
"1997/98","S08000019"," ","SMR01"," ","8 - 28 days",70
"1997/98","S08000019"," ","SMR01"," ","29 days - 6 months",25
"1997/98","S08000019"," ","SMR01"," ","> 6 months",0
"1997/98","S08000019"," ","SMR04"," ","< 1 day",85
"1997/98","S08000019"," ","SMR04"," ","1 - 7 days",255
"1997/98","S08000019"," ","SMR04"," ","8 - 28 days",555
"1997/98","S08000019"," ","SMR04"," ","29 days - 6 months",410
"1997/98","S08000019"," ","SMR04"," ","> 6 months",120
"1997/98","S08000019"," ","Total","d","< 1 day",115
"1997/98","S08000019"," ","Total","d","1 - 7 days",385
"1997/98","S08000019"," ","Total","d","8 - 28 days",625
"1997/98","S08000019"," ","Total","d","29 days - 6 months",435
"1997/98","S08000019"," ","Total","d","> 6 months",120
"1997/98","S08000020"," ","SMR01"," ","< 1 day",145
"1997/98","S08000020"," ","SMR01"," ","1 - 7 days",495
"1997/98","S08000020"," ","SMR01"," ","8 - 28 days",190
"1997/98","S08000020"," ","SMR01"," ","29 days - 6 months",80
"1997/98","S08000020"," ","SMR01"," ","> 6 months",0
"1997/98","S08000020"," ","SMR04"," ","< 1 day",40
"1997/98","S08000020"," ","SMR04"," ","1 - 7 days",510
"1997/98","S08000020"," ","SMR04"," ","8 - 28 days",900
"1997/98","S08000020"," ","SMR04"," ","29 days - 6 months",645
"1997/98","S08000020"," ","SMR04"," ","> 6 months",170
"1997/98","S08000020"," ","Total","d","< 1 day",185
"1997/98","S08000020"," ","Total","d","1 - 7 days",1005
"1997/98","S08000020"," ","Total","d","8 - 28 days",1090
"1997/98","S08000020"," ","Total","d","29 days - 6 months",725
"1997/98","S08000020"," ","Total","d","> 6 months",175
"1997/98","S08000031"," ","SMR01"," ","< 1 day",380
"1997/98","S08000031"," ","SMR01"," ","1 - 7 days",1220
"1997/98","S08000031"," ","SMR01"," ","8 - 28 days",510
"1997/98","S08000031"," ","SMR01"," ","29 days - 6 months",280
"1997/98","S08000031"," ","SMR01"," ","> 6 months",50
"1997/98","S08000031"," ","SMR04"," ","< 1 day",165
"1997/98","S08000031"," ","SMR04"," ","1 - 7 days",1900
"1997/98","S08000031"," ","SMR04"," ","8 - 28 days",2845
"1997/98","S08000031"," ","SMR04"," ","29 days - 6 months",2290
"1997/98","S08000031"," ","SMR04"," ","> 6 months",640
"1997/98","S08000031"," ","Total","d","< 1 day",545
"1997/98","S08000031"," ","Total","d","1 - 7 days",3120
"1997/98","S08000031"," ","Total","d","8 - 28 days",3360
"1997/98","S08000031"," ","Total","d","29 days - 6 months",2570
"1997/98","S08000031"," ","Total","d","> 6 months",685
"1997/98","S08000022"," ","SMR01"," ","< 1 day",155
"1997/98","S08000022"," ","SMR01"," ","1 - 7 days",490
"1997/98","S08000022"," ","SMR01"," ","8 - 28 days",205
"1997/98","S08000022"," ","SMR01"," ","29 days - 6 months",65
"1997/98","S08000022"," ","SMR01"," ","> 6 months",10
"1997/98","S08000022"," ","SMR04"," ","< 1 day",30
"1997/98","S08000022"," ","SMR04"," ","1 - 7 days",480
"1997/98","S08000022"," ","SMR04"," ","8 - 28 days",765
"1997/98","S08000022"," ","SMR04"," ","29 days - 6 months",510
"1997/98","S08000022"," ","SMR04"," ","> 6 months",110
"1997/98","S08000022"," ","Total","d","< 1 day",190
"1997/98","S08000022"," ","Total","d","1 - 7 days",970
"1997/98","S08000022"," ","Total","d","8 - 28 days",970
"1997/98","S08000022"," ","Total","d","29 days - 6 months",575
"1997/98","S08000022"," ","Total","d","> 6 months",120
"1997/98","S08000032"," ","SMR01"," ","< 1 day",130
"1997/98","S08000032"," ","SMR01"," ","1 - 7 days",330
"1997/98","S08000032"," ","SMR01"," ","8 - 28 days",95
"1997/98","S08000032"," ","SMR01"," ","29 days - 6 months",70
"1997/98","S08000032"," ","SMR01"," ","> 6 months",10
"1997/98","S08000032"," ","SMR04"," ","< 1 day",75
"1997/98","S08000032"," ","SMR04"," ","1 - 7 days",615
"1997/98","S08000032"," ","SMR04"," ","8 - 28 days",895
"1997/98","S08000032"," ","SMR04"," ","29 days - 6 months",565
"1997/98","S08000032"," ","SMR04"," ","> 6 months",155
"1997/98","S08000032"," ","Total","d","< 1 day",205
"1997/98","S08000032"," ","Total","d","1 - 7 days",940
"1997/98","S08000032"," ","Total","d","8 - 28 days",990
"1997/98","S08000032"," ","Total","d","29 days - 6 months",630
"1997/98","S08000032"," ","Total","d","> 6 months",160
"1997/98","S08000024"," ","SMR01"," ","< 1 day",215
"1997/98","S08000024"," ","SMR01"," ","1 - 7 days",470
"1997/98","S08000024"," ","SMR01"," ","8 - 28 days",195
"1997/98","S08000024"," ","SMR01"," ","29 days - 6 months",110
"1997/98","S08000024"," ","SMR01"," ","> 6 months",0
"1997/98","S08000024"," ","SMR04"," ","< 1 day",90
"1997/98","S08000024"," ","SMR04"," ","1 - 7 days",1390
"1997/98","S08000024"," ","SMR04"," ","8 - 28 days",2105
"1997/98","S08000024"," ","SMR04"," ","29 days - 6 months",1285
"1997/98","S08000024"," ","SMR04"," ","> 6 months",290
"1997/98","S08000024"," ","Total","d","< 1 day",300
"1997/98","S08000024"," ","Total","d","1 - 7 days",1860
"1997/98","S08000024"," ","Total","d","8 - 28 days",2300
"1997/98","S08000024"," ","Total","d","29 days - 6 months",1395
"1997/98","S08000024"," ","Total","d","> 6 months",290
"1997/98","S08000025"," ","SMR01"," ","< 1 day",15
"1997/98","S08000025"," ","SMR01"," ","1 - 7 days",30
"1997/98","S08000025"," ","SMR01"," ","8 - 28 days",10
"1997/98","S08000025"," ","SMR01"," ","29 days - 6 months",0
"1997/98","S08000025"," ","SMR01"," ","> 6 months",5
"1997/98","S08000025"," ","SMR04"," ","< 1 day",0
"1997/98","S08000025"," ","SMR04"," ","1 - 7 days",0
"1997/98","S08000025"," ","SMR04"," ","8 - 28 days",0
"1997/98","S08000025"," ","SMR04"," ","29 days - 6 months",0
"1997/98","S08000025"," ","SMR04"," ","> 6 months",0
"1997/98","S08000025"," ","Total","d","< 1 day",15
"1997/98","S08000025"," ","Total","d","1 - 7 days",30
"1997/98","S08000025"," ","Total","d","8 - 28 days",10
"1997/98","S08000025"," ","Total","d","29 days - 6 months",0
"1997/98","S08000025"," ","Total","d","> 6 months",5
"1997/98","S08000026"," ","SMR01"," ","< 1 day",45
"1997/98","S08000026"," ","SMR01"," ","1 - 7 days",60
"1997/98","S08000026"," ","SMR01"," ","8 - 28 days",5
"1997/98","S08000026"," ","SMR01"," ","29 days - 6 months",10
"1997/98","S08000026"," ","SMR01"," ","> 6 months",0
"1997/98","S08000026"," ","SMR04"," ","< 1 day",0
"1997/98","S08000026"," ","SMR04"," ","1 - 7 days",0
"1997/98","S08000026"," ","SMR04"," ","8 - 28 days",0
"1997/98","S08000026"," ","SMR04"," ","29 days - 6 months",0
"1997/98","S08000026"," ","SMR04"," ","> 6 months",0
"1997/98","S08000026"," ","Total","d","< 1 day",45
"1997/98","S08000026"," ","Total","d","1 - 7 days",60
"1997/98","S08000026"," ","Total","d","8 - 28 days",5
"1997/98","S08000026"," ","Total","d","29 days - 6 months",10
"1997/98","S08000026"," ","Total","d","> 6 months",0
"1997/98","S08000030"," ","SMR01"," ","< 1 day",145
"1997/98","S08000030"," ","SMR01"," ","1 - 7 days",275
"1997/98","S08000030"," ","SMR01"," ","8 - 28 days",150
"1997/98","S08000030"," ","SMR01"," ","29 days - 6 months",85
"1997/98","S08000030"," ","SMR01"," ","> 6 months",5
"1997/98","S08000030"," ","SMR04"," ","< 1 day",65
"1997/98","S08000030"," ","SMR04"," ","1 - 7 days",640
"1997/98","S08000030"," ","SMR04"," ","8 - 28 days",985
"1997/98","S08000030"," ","SMR04"," ","29 days - 6 months",790
"1997/98","S08000030"," ","SMR04"," ","> 6 months",205
"1997/98","S08000030"," ","Total","d","< 1 day",210
"1997/98","S08000030"," ","Total","d","1 - 7 days",915
"1997/98","S08000030"," ","Total","d","8 - 28 days",1135
"1997/98","S08000030"," ","Total","d","29 days - 6 months",880
"1997/98","S08000030"," ","Total","d","> 6 months",210
"1997/98","S08000028"," ","SMR01"," ","< 1 day",15
"1997/98","S08000028"," ","SMR01"," ","1 - 7 days",65
"1997/98","S08000028"," ","SMR01"," ","8 - 28 days",45
"1997/98","S08000028"," ","SMR01"," ","29 days - 6 months",10
"1997/98","S08000028"," ","SMR01"," ","> 6 months",0
"1997/98","S08000028"," ","SMR04"," ","< 1 day",5
"1997/98","S08000028"," ","SMR04"," ","1 - 7 days",40
"1997/98","S08000028"," ","SMR04"," ","8 - 28 days",105
"1997/98","S08000028"," ","SMR04"," ","29 days - 6 months",20
"1997/98","S08000028"," ","SMR04"," ","> 6 months",10
"1997/98","S08000028"," ","Total","d","< 1 day",15
"1997/98","S08000028"," ","Total","d","1 - 7 days",105
"1997/98","S08000028"," ","Total","d","8 - 28 days",150
"1997/98","S08000028"," ","Total","d","29 days - 6 months",30
"1997/98","S08000028"," ","Total","d","> 6 months",10
"1997/98","SB0802"," ","SMR01"," ","< 1 day",0
"1997/98","SB0802"," ","SMR01"," ","1 - 7 days",0
"1997/98","SB0802"," ","SMR01"," ","8 - 28 days",0
"1997/98","SB0802"," ","SMR01"," ","29 days - 6 months",0
"1997/98","SB0802"," ","SMR01"," ","> 6 months",0
"1997/98","SB0802"," ","SMR04"," ","< 1 day",0
"1997/98","SB0802"," ","SMR04"," ","1 - 7 days",0
"1997/98","SB0802"," ","SMR04"," ","8 - 28 days",0
"1997/98","SB0802"," ","SMR04"," ","29 days - 6 months",10
"1997/98","SB0802"," ","SMR04"," ","> 6 months",20
"1997/98","SB0802"," ","Total","d","< 1 day",0
"1997/98","SB0802"," ","Total","d","1 - 7 days",0
"1997/98","SB0802"," ","Total","d","8 - 28 days",0
"1997/98","SB0802"," ","Total","d","29 days - 6 months",10
"1997/98","SB0802"," ","Total","d","> 6 months",20
"1997/98","S92000003","d","SMR01"," ","< 1 day",1630
"1997/98","S92000003","d","SMR01"," ","1 - 7 days",4365
"1997/98","S92000003","d","SMR01"," ","8 - 28 days",1745
"1997/98","S92000003","d","SMR01"," ","29 days - 6 months",860
"1997/98","S92000003","d","SMR01"," ","> 6 months",95
"1997/98","S92000003","d","SMR04"," ","< 1 day",660
"1997/98","S92000003","d","SMR04"," ","1 - 7 days",7305
"1997/98","S92000003","d","SMR04"," ","8 - 28 days",11295
"1997/98","S92000003","d","SMR04"," ","29 days - 6 months",8080
"1997/98","S92000003","d","SMR04"," ","> 6 months",2110
"1997/98","S92000003","d","Total","d","< 1 day",2290
"1997/98","S92000003","d","Total","d","1 - 7 days",11675
"1997/98","S92000003","d","Total","d","8 - 28 days",13035
"1997/98","S92000003","d","Total","d","29 days - 6 months",8940
"1997/98","S92000003","d","Total","d","> 6 months",2205
"1998/99","SB0801"," ","SMR01"," ","< 1 day",0
"1998/99","SB0801"," ","SMR01"," ","1 - 7 days",0
"1998/99","SB0801"," ","SMR01"," ","8 - 28 days",0
"1998/99","SB0801"," ","SMR01"," ","29 days - 6 months",0
"1998/99","SB0801"," ","SMR01"," ","> 6 months",0
"1998/99","SB0801"," ","SMR04"," ","< 1 day",0
"1998/99","SB0801"," ","SMR04"," ","1 - 7 days",0
"1998/99","SB0801"," ","SMR04"," ","8 - 28 days",0
"1998/99","SB0801"," ","SMR04"," ","29 days - 6 months",0
"1998/99","SB0801"," ","SMR04"," ","> 6 months",0
"1998/99","SB0801"," ","Total","d","< 1 day",0
"1998/99","SB0801"," ","Total","d","1 - 7 days",0
"1998/99","SB0801"," ","Total","d","8 - 28 days",0
"1998/99","SB0801"," ","Total","d","29 days - 6 months",0
"1998/99","SB0801"," ","Total","d","> 6 months",0
"1998/99","S08000015"," ","SMR01"," ","< 1 day",220
"1998/99","S08000015"," ","SMR01"," ","1 - 7 days",420
"1998/99","S08000015"," ","SMR01"," ","8 - 28 days",105
"1998/99","S08000015"," ","SMR01"," ","29 days - 6 months",55
"1998/99","S08000015"," ","SMR01"," ","> 6 months",5
"1998/99","S08000015"," ","SMR04"," ","< 1 day",50
"1998/99","S08000015"," ","SMR04"," ","1 - 7 days",655
"1998/99","S08000015"," ","SMR04"," ","8 - 28 days",1035
"1998/99","S08000015"," ","SMR04"," ","29 days - 6 months",655
"1998/99","S08000015"," ","SMR04"," ","> 6 months",145
"1998/99","S08000015"," ","Total","d","< 1 day",270
"1998/99","S08000015"," ","Total","d","1 - 7 days",1070
"1998/99","S08000015"," ","Total","d","8 - 28 days",1140
"1998/99","S08000015"," ","Total","d","29 days - 6 months",710
"1998/99","S08000015"," ","Total","d","> 6 months",155
"1998/99","S08000016"," ","SMR01"," ","< 1 day",30
"1998/99","S08000016"," ","SMR01"," ","1 - 7 days",80
"1998/99","S08000016"," ","SMR01"," ","8 - 28 days",60
"1998/99","S08000016"," ","SMR01"," ","29 days - 6 months",30
"1998/99","S08000016"," ","SMR01"," ","> 6 months",0
"1998/99","S08000016"," ","SMR04"," ","< 1 day",5
"1998/99","S08000016"," ","SMR04"," ","1 - 7 days",175
"1998/99","S08000016"," ","SMR04"," ","8 - 28 days",190
"1998/99","S08000016"," ","SMR04"," ","29 days - 6 months",175
"1998/99","S08000016"," ","SMR04"," ","> 6 months",45
"1998/99","S08000016"," ","Total","d","< 1 day",35
"1998/99","S08000016"," ","Total","d","1 - 7 days",255
"1998/99","S08000016"," ","Total","d","8 - 28 days",250
"1998/99","S08000016"," ","Total","d","29 days - 6 months",205
"1998/99","S08000016"," ","Total","d","> 6 months",45
"1998/99","S08000017"," ","SMR01"," ","< 1 day",55
"1998/99","S08000017"," ","SMR01"," ","1 - 7 days",140
"1998/99","S08000017"," ","SMR01"," ","8 - 28 days",75
"1998/99","S08000017"," ","SMR01"," ","29 days - 6 months",10
"1998/99","S08000017"," ","SMR01"," ","> 6 months",0
"1998/99","S08000017"," ","SMR04"," ","< 1 day",10
"1998/99","S08000017"," ","SMR04"," ","1 - 7 days",185
"1998/99","S08000017"," ","SMR04"," ","8 - 28 days",245
"1998/99","S08000017"," ","SMR04"," ","29 days - 6 months",270
"1998/99","S08000017"," ","SMR04"," ","> 6 months",85
"1998/99","S08000017"," ","Total","d","< 1 day",65
"1998/99","S08000017"," ","Total","d","1 - 7 days",325
"1998/99","S08000017"," ","Total","d","8 - 28 days",320
"1998/99","S08000017"," ","Total","d","29 days - 6 months",280
"1998/99","S08000017"," ","Total","d","> 6 months",85
"1998/99","S08000029"," ","SMR01"," ","< 1 day",65
"1998/99","S08000029"," ","SMR01"," ","1 - 7 days",130
"1998/99","S08000029"," ","SMR01"," ","8 - 28 days",35
"1998/99","S08000029"," ","SMR01"," ","29 days - 6 months",40
"1998/99","S08000029"," ","SMR01"," ","> 6 months",5
"1998/99","S08000029"," ","SMR04"," ","< 1 day",40
"1998/99","S08000029"," ","SMR04"," ","1 - 7 days",495
"1998/99","S08000029"," ","SMR04"," ","8 - 28 days",615
"1998/99","S08000029"," ","SMR04"," ","29 days - 6 months",505
"1998/99","S08000029"," ","SMR04"," ","> 6 months",120
"1998/99","S08000029"," ","Total","d","< 1 day",100
"1998/99","S08000029"," ","Total","d","1 - 7 days",625
"1998/99","S08000029"," ","Total","d","8 - 28 days",650
"1998/99","S08000029"," ","Total","d","29 days - 6 months",545
"1998/99","S08000029"," ","Total","d","> 6 months",125
"1998/99","S08000019"," ","SMR01"," ","< 1 day",55
"1998/99","S08000019"," ","SMR01"," ","1 - 7 days",140
"1998/99","S08000019"," ","SMR01"," ","8 - 28 days",65
"1998/99","S08000019"," ","SMR01"," ","29 days - 6 months",20
"1998/99","S08000019"," ","SMR01"," ","> 6 months",0
"1998/99","S08000019"," ","SMR04"," ","< 1 day",95
"1998/99","S08000019"," ","SMR04"," ","1 - 7 days",225
"1998/99","S08000019"," ","SMR04"," ","8 - 28 days",410
"1998/99","S08000019"," ","SMR04"," ","29 days - 6 months",425
"1998/99","S08000019"," ","SMR04"," ","> 6 months",95
"1998/99","S08000019"," ","Total","d","< 1 day",145
"1998/99","S08000019"," ","Total","d","1 - 7 days",365
"1998/99","S08000019"," ","Total","d","8 - 28 days",475
"1998/99","S08000019"," ","Total","d","29 days - 6 months",445
"1998/99","S08000019"," ","Total","d","> 6 months",95
"1998/99","S08000020"," ","SMR01"," ","< 1 day",160
"1998/99","S08000020"," ","SMR01"," ","1 - 7 days",455
"1998/99","S08000020"," ","SMR01"," ","8 - 28 days",200
"1998/99","S08000020"," ","SMR01"," ","29 days - 6 months",85
"1998/99","S08000020"," ","SMR01"," ","> 6 months",0
"1998/99","S08000020"," ","SMR04"," ","< 1 day",40
"1998/99","S08000020"," ","SMR04"," ","1 - 7 days",585
"1998/99","S08000020"," ","SMR04"," ","8 - 28 days",935
"1998/99","S08000020"," ","SMR04"," ","29 days - 6 months",710
"1998/99","S08000020"," ","SMR04"," ","> 6 months",190
"1998/99","S08000020"," ","Total","d","< 1 day",205
"1998/99","S08000020"," ","Total","d","1 - 7 days",1040
"1998/99","S08000020"," ","Total","d","8 - 28 days",1130
"1998/99","S08000020"," ","Total","d","29 days - 6 months",795
"1998/99","S08000020"," ","Total","d","> 6 months",195
"1998/99","S08000031"," ","SMR01"," ","< 1 day",330
"1998/99","S08000031"," ","SMR01"," ","1 - 7 days",1210
"1998/99","S08000031"," ","SMR01"," ","8 - 28 days",480
"1998/99","S08000031"," ","SMR01"," ","29 days - 6 months",380
"1998/99","S08000031"," ","SMR01"," ","> 6 months",40
"1998/99","S08000031"," ","SMR04"," ","< 1 day",170
"1998/99","S08000031"," ","SMR04"," ","1 - 7 days",1825
"1998/99","S08000031"," ","SMR04"," ","8 - 28 days",2700
"1998/99","S08000031"," ","SMR04"," ","29 days - 6 months",2195
"1998/99","S08000031"," ","SMR04"," ","> 6 months",665
"1998/99","S08000031"," ","Total","d","< 1 day",500
"1998/99","S08000031"," ","Total","d","1 - 7 days",3035
"1998/99","S08000031"," ","Total","d","8 - 28 days",3180
"1998/99","S08000031"," ","Total","d","29 days - 6 months",2575
"1998/99","S08000031"," ","Total","d","> 6 months",705
"1998/99","S08000022"," ","SMR01"," ","< 1 day",200
"1998/99","S08000022"," ","SMR01"," ","1 - 7 days",545
"1998/99","S08000022"," ","SMR01"," ","8 - 28 days",180
"1998/99","S08000022"," ","SMR01"," ","29 days - 6 months",75
"1998/99","S08000022"," ","SMR01"," ","> 6 months",5
"1998/99","S08000022"," ","SMR04"," ","< 1 day",20
"1998/99","S08000022"," ","SMR04"," ","1 - 7 days",505
"1998/99","S08000022"," ","SMR04"," ","8 - 28 days",805
"1998/99","S08000022"," ","SMR04"," ","29 days - 6 months",535
"1998/99","S08000022"," ","SMR04"," ","> 6 months",120
"1998/99","S08000022"," ","Total","d","< 1 day",225
"1998/99","S08000022"," ","Total","d","1 - 7 days",1050
"1998/99","S08000022"," ","Total","d","8 - 28 days",985
"1998/99","S08000022"," ","Total","d","29 days - 6 months",615
"1998/99","S08000022"," ","Total","d","> 6 months",125
"1998/99","S08000032"," ","SMR01"," ","< 1 day",155
"1998/99","S08000032"," ","SMR01"," ","1 - 7 days",370
"1998/99","S08000032"," ","SMR01"," ","8 - 28 days",105
"1998/99","S08000032"," ","SMR01"," ","29 days - 6 months",80
"1998/99","S08000032"," ","SMR01"," ","> 6 months",5
"1998/99","S08000032"," ","SMR04"," ","< 1 day",70
"1998/99","S08000032"," ","SMR04"," ","1 - 7 days",630
"1998/99","S08000032"," ","SMR04"," ","8 - 28 days",970
"1998/99","S08000032"," ","SMR04"," ","29 days - 6 months",675
"1998/99","S08000032"," ","SMR04"," ","> 6 months",175
"1998/99","S08000032"," ","Total","d","< 1 day",225
"1998/99","S08000032"," ","Total","d","1 - 7 days",995
"1998/99","S08000032"," ","Total","d","8 - 28 days",1075
"1998/99","S08000032"," ","Total","d","29 days - 6 months",755
"1998/99","S08000032"," ","Total","d","> 6 months",180
"1998/99","S08000024"," ","SMR01"," ","< 1 day",210
"1998/99","S08000024"," ","SMR01"," ","1 - 7 days",470
"1998/99","S08000024"," ","SMR01"," ","8 - 28 days",200
"1998/99","S08000024"," ","SMR01"," ","29 days - 6 months",140
"1998/99","S08000024"," ","SMR01"," ","> 6 months",5
"1998/99","S08000024"," ","SMR04"," ","< 1 day",80
"1998/99","S08000024"," ","SMR04"," ","1 - 7 days",1290
"1998/99","S08000024"," ","SMR04"," ","8 - 28 days",1980
"1998/99","S08000024"," ","SMR04"," ","29 days - 6 months",1275
"1998/99","S08000024"," ","SMR04"," ","> 6 months",295
"1998/99","S08000024"," ","Total","d","< 1 day",290
"1998/99","S08000024"," ","Total","d","1 - 7 days",1760
"1998/99","S08000024"," ","Total","d","8 - 28 days",2180
"1998/99","S08000024"," ","Total","d","29 days - 6 months",1420
"1998/99","S08000024"," ","Total","d","> 6 months",300
"1998/99","S08000025"," ","SMR01"," ","< 1 day",15
"1998/99","S08000025"," ","SMR01"," ","1 - 7 days",30
"1998/99","S08000025"," ","SMR01"," ","8 - 28 days",5
"1998/99","S08000025"," ","SMR01"," ","29 days - 6 months",5
"1998/99","S08000025"," ","SMR01"," ","> 6 months",0
"1998/99","S08000025"," ","SMR04"," ","< 1 day",0
"1998/99","S08000025"," ","SMR04"," ","1 - 7 days",0
"1998/99","S08000025"," ","SMR04"," ","8 - 28 days",0
"1998/99","S08000025"," ","SMR04"," ","29 days - 6 months",0
"1998/99","S08000025"," ","SMR04"," ","> 6 months",0
"1998/99","S08000025"," ","Total","d","< 1 day",15
"1998/99","S08000025"," ","Total","d","1 - 7 days",30
"1998/99","S08000025"," ","Total","d","8 - 28 days",5
"1998/99","S08000025"," ","Total","d","29 days - 6 months",5
"1998/99","S08000025"," ","Total","d","> 6 months",0
"1998/99","S08000026"," ","SMR01"," ","< 1 day",40
"1998/99","S08000026"," ","SMR01"," ","1 - 7 days",60
"1998/99","S08000026"," ","SMR01"," ","8 - 28 days",10
"1998/99","S08000026"," ","SMR01"," ","29 days - 6 months",5
"1998/99","S08000026"," ","SMR01"," ","> 6 months",0
"1998/99","S08000026"," ","SMR04"," ","< 1 day",0
"1998/99","S08000026"," ","SMR04"," ","1 - 7 days",0
"1998/99","S08000026"," ","SMR04"," ","8 - 28 days",0
"1998/99","S08000026"," ","SMR04"," ","29 days - 6 months",0
"1998/99","S08000026"," ","SMR04"," ","> 6 months",0
"1998/99","S08000026"," ","Total","d","< 1 day",40
"1998/99","S08000026"," ","Total","d","1 - 7 days",60
"1998/99","S08000026"," ","Total","d","8 - 28 days",10
"1998/99","S08000026"," ","Total","d","29 days - 6 months",5
"1998/99","S08000026"," ","Total","d","> 6 months",0
"1998/99","S08000030"," ","SMR01"," ","< 1 day",160
"1998/99","S08000030"," ","SMR01"," ","1 - 7 days",295
"1998/99","S08000030"," ","SMR01"," ","8 - 28 days",140
"1998/99","S08000030"," ","SMR01"," ","29 days - 6 months",75
"1998/99","S08000030"," ","SMR01"," ","> 6 months",10
"1998/99","S08000030"," ","SMR04"," ","< 1 day",55
