"FinancialYear","HBR","HBRQF","AgeGroup","Sex","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF"
"2015/16","S92000003","d","40-64 years","Female","Total","d",6400," ","680.5"," ",3605," ","383.31"," "
"2015/16","S92000003","d","65plus years","Male","Total","d",6695," ","1536.67"," ",3640," ","835.47"," "
"2015/16","S92000003","d","65plus years","Female","Total","d",7995," ","1460.76"," ",4345," ","793.87"," "
"2016/17","S92000003","d","0-17 years","Male","Total","d",420," ","79.55"," ",330," ","62.5"," "
"2016/17","S92000003","d","0-17 years","Female","Total","d",530," ","105.2"," ",395," ","78.41"," "
"2016/17","S92000003","d","18-24 years","Male","Total","d",1375," ","557.75"," ",910," ","369.13"," "
"2016/17","S92000003","d","18-24 years","Female","Total","d",1060," ","432.98"," ",690," ","281.84"," "
"2016/17","S92000003","d","25-39 years","Male","Total","d",5430," ","1044.79"," ",3035," ","583.97"," "
"2016/17","S92000003","d","25-39 years","Female","Total","d",3430," ","642.24"," ",1955," ","366.06"," "
"2016/17","S92000003","d","40-64 years","Male","Total","d",10015," ","1126.64"," ",5355," ","602.41"," "
"2016/17","S92000003","d","40-64 years","Female","Total","d",6535," ","695.19"," ",3690," ","392.54"," "
"2016/17","S92000003","d","65plus years","Male","Total","d",7065," ","1589.94"," ",3690," ","830.42"," "
"2016/17","S92000003","d","65plus years","Female","Total","d",8510," ","1534.73"," ",4415," ","796.22"," "
"2017/18","S92000003","d","0-17 years","Male","Total","d",470," ","89.08"," ",355," ","67.29"," "
"2017/18","S92000003","d","0-17 years","Female","Total","d",535," ","106.48"," ",400," ","79.61"," "
"2017/18","S92000003","d","18-24 years","Male","Total","d",1370," ","564.89"," ",885," ","364.91"," "
"2017/18","S92000003","d","18-24 years","Female","Total","d",1170," ","491.14"," ",705," ","295.94"," "
"2017/18","S92000003","d","25-39 years","Male","Total","d",5395," ","1015.83"," ",3030," ","570.52"," "
"2017/18","S92000003","d","25-39 years","Female","Total","d",3395," ","622.61"," ",1970," ","361.28"," "
"2017/18","S92000003","d","40-64 years","Male","Total","d",10210," ","1151.26"," ",5365," ","604.95"," "
"2017/18","S92000003","d","40-64 years","Female","Total","d",6420," ","684.29"," ",3560," ","379.45"," "
"2017/18","S92000003","d","65plus years","Male","Total","d",7940," ","1755.78"," ",3950," ","873.47"," "
"2017/18","S92000003","d","65plus years","Female","Total","d",9855," ","1758.73"," ",4760," ","849.48"," "
"2018/19","S92000003","d","0-17 years","Male","Total","d",455," ","86.36"," ",340," ","64.53"," "
"2018/19","S92000003","d","0-17 years","Female","Total","d",700," ","139.46"," ",435," ","86.66"," "
"2018/19","S92000003","d","18-24 years","Male","Total","d",1435," ","599.1"," ",895," ","373.65"," "
"2018/19","S92000003","d","18-24 years","Female","Total","d",1370," ","588.98"," ",735," ","315.99"," "
"2018/19","S92000003","d","25-39 years","Male","Total","d",5690," ","1055.22"," ",3145," ","583.25"," "
"2018/19","S92000003","d","25-39 years","Female","Total","d",3870," ","700.61"," ",2055," ","372.03"," "
"2018/19","S92000003","d","40-64 years","Male","Total","d",10440," ","1181.93"," ",5330," ","603.42"," "
"2018/19","S92000003","d","40-64 years","Female","Total","d",6750," ","721.03"," ",3595," ","384.01"," "
"2018/19","S92000003","d","65plus years","Male","Total","d",7785," ","1692.96"," ",3890," ","845.94"," "
"2018/19","S92000003","d","65plus years","Female","Total","d",10340," ","1825.99"," ",4920," ","868.85"," "
"2019/20","S92000003","d","0-17 years","Male","Total","d",525," ","99.52"," ",330," ","62.56"," "
"2019/20","S92000003","d","0-17 years","Female","Total","d",770," ","153.5"," ",480," ","95.69"," "
"2019/20","S92000003","d","18-24 years","Male","Total","d",1360," ","575.1"," ",885," ","374.24"," "
"2019/20","S92000003","d","18-24 years","Female","Total","d",1495," ","651.48"," ",850," ","370.41"," "
"2019/20","S92000003","d","25-39 years","Male","Total","d",6185," ","1131.95"," ",3290," ","602.12"," "
"2019/20","S92000003","d","25-39 years","Female","Total","d",3835," ","687.48"," ",2070," ","371.08"," "
"2019/20","S92000003","d","40-64 years","Male","Total","d",11745," ","1329.87"," ",5575," ","631.25"," "
"2019/20","S92000003","d","40-64 years","Female","Total","d",7095," ","757.51"," ",3740," ","399.31"," "
"2019/20","S92000003","d","65plus years","Male","Total","d",8585," ","1828.83"," ",4025," ","857.43"," "
"2019/20","S92000003","d","65plus years","Female","Total","d",10950," ","1905.28"," ",4835," ","841.28"," "
"2020/21","S92000003","d","0-17 years","Male","Total","d",350," ","66.47"," ",290," ","55.07"," "
"2020/21","S92000003","d","0-17 years","Female","Total","d",840," ","167.88"," ",535," ","106.92"," "
"2020/21","S92000003","d","18-24 years","Male","Total","d",1385," ","597.95"," ",830," ","358.34"," "
"2020/21","S92000003","d","18-24 years","Female","Total","d",1345," ","597.46"," ",740," ","328.71"," "
"2020/21","S92000003","d","25-39 years","Male","Total","d",5825," ","1061.3"," ",2935," ","534.75"," "
"2020/21","S92000003","d","25-39 years","Female","Total","d",3585," ","642.38"," ",1885," ","337.76"," "
"2020/21","S92000003","d","40-64 years","Male","Total","d",10995," ","1246.08"," ",5085," ","576.29"," "
"2020/21","S92000003","d","40-64 years","Female","Total","d",6545," ","698.54"," ",3285," ","350.61"," "
"2020/21","S92000003","d","65plus years","Male","Total","d",8585," ","1804.33"," ",3725," ","782.89"," "
"2020/21","S92000003","d","65plus years","Female","Total","d",10385," ","1789.66"," ",4325," ","745.33"," "
"2021/22","S92000003","d","0-17 years","Male","Total","d",325," ","61.84"," ",260," ","49.48"," "
"2021/22","S92000003","d","0-17 years","Female","Total","d",745," ","149.16"," ",490," ","98.1"," "
"2021/22","S92000003","d","18-24 years","Male","Total","d",1175," ","521.11"," ",755," ","334.84"," "
"2021/22","S92000003","d","18-24 years","Female","Total","d",1405," ","641.92"," ",785," ","358.65"," "
"2021/22","S92000003","d","25-39 years","Male","Total","d",5575," ","1007.1"," ",2785," ","503.1"," "
"2021/22","S92000003","d","25-39 years","Female","Total","d",3460," ","617.36"," ",1855," ","330.98"," "
"2021/22","S92000003","d","40-64 years","Male","Total","d",10725," ","1214.26"," ",5015," ","567.79"," "
"2021/22","S92000003","d","40-64 years","Female","Total","d",6575," ","699.9"," ",3350," ","356.6"," "
"2021/22","S92000003","d","65plus years","Male","Total","d",9050," ","1866.98"," ",3880," ","800.43"," "
"2021/22","S92000003","d","65plus years","Female","Total","d",11010," ","1868.89"," ",4690," ","796.1"," "
"2022/23","S92000003","d","0-17 years","Male","Total","d",255," ","48.52"," ",215," ","40.91"," "
"2022/23","S92000003","d","0-17 years","Female","Total","d",770," ","154.16"," ",420," ","84.09"," "
"2022/23","S92000003","d","18-24 years","Male","Total","d",1070," ","474.54"," ",630," ","279.4"," "
"2022/23","S92000003","d","18-24 years","Female","Total","d",1160," ","529.98"," ",615," ","280.98"," "
"2022/23","S92000003","d","25-39 years","Male","Total","d",5250," ","948.39"," ",2605," ","470.58"," "
"2022/23","S92000003","d","25-39 years","Female","Total","d",3305," ","589.7"," ",1775," ","316.71"," "
"2022/23","S92000003","d","40-64 years","Male","Total","d",9920," ","1123.12"," ",4675," ","529.29"," "
"2022/23","S92000003","d","40-64 years","Female","Total","d",6315," ","672.22"," ",3300," ","351.28"," "
"2022/23","S92000003","d","65plus years","Male","Total","d",8955," ","1847.38"," ",3815," ","787.02"," "
"2022/23","S92000003","d","65plus years","Female","Total","d",11140," ","1890.96"," ",4570," ","775.73"," "
"1997/98","S08000015"," ","0-17 years","Male","Total","d",105," ","243.98"," ",100," ","232.36"," "
"1997/98","S08000015"," ","0-17 years","Female","Total","d",85," ","203.8"," ",80," ","191.81"," "
"1997/98","S08000015"," ","18-24 years","Male","Total","d",185," ","1254.92"," ",115," ","780.08"," "
"1997/98","S08000015"," ","18-24 years","Female","Total","d",95," ","663.36"," ",65," ","453.88"," "
"1997/98","S08000015"," ","25-39 years","Male","Total","d",480," ","1236.16"," ",325," ","836.98"," "
"1997/98","S08000015"," ","25-39 years","Female","Total","d",435," ","1038.43"," ",265," ","632.61"," "
"1997/98","S08000015"," ","40-64 years","Male","Total","d",640," ","1125.83"," ",440," ","774.01"," "
"1997/98","S08000015"," ","40-64 years","Female","Total","d",425," ","704.73"," ",285," ","472.58"," "
"1997/98","S08000015"," ","65plus years","Male","Total","d",470," ","1934.08"," ",300," ","1234.52"," "
"1997/98","S08000015"," ","65plus years","Female","Total","d",615," ","1672.65"," ",430," ","1169.5"," "
"1997/98","S08000016"," ","0-17 years","Male","Total","d",20," ","174.63"," ",20," ","174.63"," "
"1997/98","S08000016"," ","0-17 years","Female","Total","d",20," ","178.76"," ",20," ","178.76"," "
