date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2023-09-17,AI,RTX 4090,South America,3675,Educational Institutions,Individual,2,193795.17,3,Low,4.1,24,0.1,52,30.4,568617332116.7
2007-11-04,Data Center,Quadro P2200,South America,3986,Cloud Providers,Individual,2.5,56990.73,20,Medium,2.86,76,0.23,70,60.23,283470281.87
2021-04-14,AI,Quadro P2200,South America,4880,AI Researchers,Business,2.7,178574.17,22,Low,3.95,82,0.08,68,39.66,52152415898.09
2016-05-29,OEM,Tesla V100,South America,2139,Cloud Providers,Individual,1.6,188888.67,2,Medium,2.75,48,0.17,88,64.42,290272456.26
2018-03-31,AI,Quadro P2200,South America,1000,Cloud Providers,Business,1.7,121558.25,1,Medium,3.88,64,0.26,80,39.94,1166317585.64
2021-02-12,Data Center,Quadro P2200,South America,4357,Cloud Providers,Individual,3.3,121015.01,20,Medium,3.39,14,0.18,80,66.22,58234897920.29
2014-12-20,OEM,Tesla V100,South America,2042,Educational Institutions,Individual,4,28822.97,9,Low,1.85,43,0.22,90,45.52,288468600.82
2007-02-12,Data Center,Tesla V100,South America,1970,Gamers,Individual,2.9,198053.22,4,High,2.77,38,0.21,52,53.38,306977151.03
1998-03-26,Gaming,RTX 3080,South America,1591,Educational Institutions,Individual,1.2,92860,14,High,3.83,77,0.25,86,66.68,308217442.02
2019-02-05,Data Center,Tesla T4,South America,3147,Gamers,Individual,2.6,11269.69,18,High,3.28,53,0.23,83,62.28,3562170283.9
1998-11-08,Data Center,Tesla T4,South America,1527,Educational Institutions,Business,2.6,104807.96,24,Medium,3.99,59,0.22,89,65.1,280763939.02
1998-03-13,AI,Tesla T4,South America,4872,Cloud Providers,Business,2.6,154245.97,21,High,1.21,53,0.24,84,38.36,313844678.66
2006-05-03,OEM,RTX 3080,South America,372,Cloud Providers,Business,4.3,130088.41,22,Low,4.79,43,0.28,72,41.61,312022306.49
2017-03-28,AI,Tesla V100,South America,261,Gamers,Individual,4.3,26148.85,12,Low,0.81,24,0.28,78,46.9,288765499.32
2007-05-29,OEM,RTX 3080,South America,1471,Cloud Providers,Business,4.2,108910.56,25,High,4.33,70,0.17,89,36.88,293108244.44
1994-12-25,OEM,RTX 3080,South America,2141,AI Researchers,Business,1.5,98116.07,16,Low,3.69,69,0.21,85,52.53,1530807126.37
2012-10-29,AI,RTX 3080,South America,1179,AI Researchers,Business,3.5,155335.87,14,High,3.57,58,0.07,73,48.03,290099494.34
1994-09-22,Gaming,RTX 3080,South America,2208,Gamers,Individual,1.1,98558.27,9,Medium,3.11,73,0.18,86,59.6,1598780148.03
2014-08-02,AI,RTX 4090,South America,898,AI Researchers,Individual,3.8,115593.07,3,Medium,2.93,50,0.14,86,65.01,304497328.02
2010-12-14,OEM,Quadro P2200,South America,3697,Gamers,Individual,4.7,192312.16,25,Low,1.65,16,0.16,58,31.74,298322079.13
2001-07-24,Data Center,RTX 3080,South America,550,Cloud Providers,Individual,4.4,142886.75,17,Medium,4.68,60,0.07,73,64.48,285112606.36
2017-01-09,Data Center,Tesla T4,South America,3691,Educational Institutions,Business,2.8,97873.27,22,High,3.3,29,0.18,81,69.07,303580562.22
2002-11-02,Gaming,Tesla T4,South America,1464,AI Researchers,Business,4,110239.7,13,Low,1.33,69,0.23,85,55.02,293826891.62
2010-04-22,OEM,RTX 3080,South America,554,Cloud Providers,Individual,2,172486.53,21,Medium,1.11,41,0.13,72,53.79,283094650.99
2013-05-16,AI,RTX 3080,South America,3495,Gamers,Individual,3.7,141601.54,19,High,4.07,13,0.06,81,42.51,281205341.32
2021-08-11,OEM,RTX 3080,South America,2289,AI Researchers,Individual,2.7,38434.92,25,High,2.67,30,0.2,72,69.97,64018613123.18
2022-07-28,AI,RTX 4090,South America,3066,Cloud Providers,Business,2,130858.19,14,Medium,0.93,37,0.1,66,69.28,231242766278.65
2003-10-29,AI,Quadro P2200,South America,3841,Educational Institutions,Business,2.6,190064.78,3,High,1.31,45,0.3,57,57.94,297242154.01
2001-08-30,Data Center,Tesla V100,South America,3376,Educational Institutions,Business,1.9,128718.04,17,High,0.44,29,0.05,57,55.13,285034762.52
2017-04-15,AI,RTX 4090,South America,4079,Cloud Providers,Business,2.4,161394.81,14,Low,2.43,52,0.07,71,69.07,309055028.34
1996-12-03,Gaming,RTX 3080,South America,3401,Cloud Providers,Individual,1.2,159163.08,14,Low,0.18,37,0.12,89,62.7,317390183.25
2017-02-24,AI,RTX 4090,South America,1373,AI Researchers,Individual,1.2,145957.82,7,Medium,2.63,56,0.05,59,67.97,280018814.95
2024-04-16,Data Center,Quadro P2200,South America,2417,AI Researchers,Individual,3.5,12879.81,9,High,0.44,81,0.09,76,38.95,647337978424.46
2019-11-26,Data Center,Tesla V100,South America,3080,Gamers,Individual,2.8,11208,19,Medium,4.49,51,0.11,55,54.85,8409391452.37
2001-10-26,Gaming,Quadro P2200,South America,313,AI Researchers,Individual,2.7,157517.24,21,Medium,3.96,21,0.21,53,52.58,293319242.37
2006-12-28,Data Center,RTX 3080,South America,3582,Cloud Providers,Business,1.3,62880.57,13,High,2.8,70,0.06,72,48.11,290546344.64
1995-07-22,Gaming,Tesla T4,South America,2482,Gamers,Individual,4,188670,12,Low,4.75,57,0.08,86,38.02,295762014.17
2021-01-17,AI,RTX 3080,South America,1083,AI Researchers,Individual,3.1,101439.39,22,Low,2.9,59,0.22,75,40.89,66815697570.57
2007-01-08,OEM,RTX 4090,South America,4059,Gamers,Individual,2.8,136899.1,18,Low,1.69,62,0.2,53,41.55,309568865.45
2011-05-15,Gaming,Tesla T4,South America,4426,AI Researchers,Individual,3,89140.95,2,High,3.5,61,0.07,66,38.19,280573533.66
2015-07-05,Data Center,Tesla T4,South America,3652,Cloud Providers,Business,3.1,152210.87,21,Medium,3.81,80,0.21,90,52.29,283224497.88
2009-07-13,OEM,Tesla V100,South America,2043,Gamers,Individual,3.8,79652.08,16,Medium,3.77,17,0.18,84,35.53,307471763.37
2002-01-29,AI,Tesla T4,South America,4380,Gamers,Individual,2.6,33132.51,0,Low,2.21,10,0.19,64,36.57,282822481.07
1995-07-09,Data Center,RTX 3080,South America,1426,Cloud Providers,Individual,3,60835.08,8,Low,0.21,75,0.12,86,66.5,292549731.93
2005-11-06,AI,Tesla V100,South America,2462,Gamers,Individual,4.7,49689.89,23,High,0.71,54,0.25,75,48.1,305490477.51
2015-06-26,AI,Quadro P2200,South America,1705,AI Researchers,Business,2,143814.26,11,High,1.22,52,0.13,60,60.88,300462102.21
2008-11-08,AI,RTX 4090,South America,1698,Cloud Providers,Individual,4.9,168531.24,21,High,2.31,33,0.15,75,39.28,314772894.53
2012-08-14,Gaming,Tesla V100,South America,4788,AI Researchers,Individual,2.3,168672.22,16,Low,0.57,76,0.2,68,56.91,283798809.52
2003-09-04,OEM,RTX 3080,South America,4692,Educational Institutions,Individual,1.5,34048.05,7,High,3.38,85,0.2,54,59.93,311071806.08
2011-11-27,Gaming,Tesla T4,South America,3288,Gamers,Individual,2.4,58087.92,19,High,4.97,30,0.09,66,37.68,311339204.9
2020-09-09,Gaming,Tesla V100,South America,4524,Cloud Providers,Individual,2.4,192604.8,24,Low,4.8,68,0.24,54,52.35,4504280632.87
2011-04-20,AI,Tesla T4,South America,1892,AI Researchers,Business,1.8,133329.54,18,High,4.25,57,0.06,77,67.23,293145075.59
1994-05-21,AI,Tesla T4,South America,1500,AI Researchers,Business,2.1,187976.66,13,High,0.1,15,0.22,84,49.17,1893934905.48
2013-05-23,AI,Quadro P2200,South America,3989,Gamers,Business,2.5,77258.26,9,Low,0.44,85,0.07,76,46.58,319737340.33
1999-08-14,OEM,RTX 3080,South America,1731,Gamers,Business,3.5,104608.5,2,High,4.33,15,0.12,57,45.71,313391959
2014-09-26,Gaming,Quadro P2200,South America,1021,AI Researchers,Individual,2.5,95787.84,7,Low,3.12,65,0.29,64,32.77,310569418.01
2013-04-15,OEM,RTX 3080,South America,4403,Cloud Providers,Individual,2.3,123446.22,5,High,2.06,39,0.22,82,44.59,281945339.14
2000-07-15,OEM,RTX 4090,South America,3879,AI Researchers,Business,1.6,87719.87,2,Medium,4.01,47,0.18,60,56.28,296970042.53
2014-03-11,Gaming,RTX 4090,South America,559,Gamers,Individual,2.6,189399.24,18,High,3.13,47,0.29,71,55.45,307337854.33
1995-11-03,Gaming,RTX 4090,South America,1410,Cloud Providers,Individual,2.2,24883.99,25,Medium,1.97,52,0.25,58,30.23,311293696.75
2015-01-22,Gaming,Quadro P2200,South America,2658,Cloud Providers,Business,2.5,51468.45,0,Medium,1.07,68,0.24,78,31.61,308028423.45
1996-09-22,OEM,Quadro P2200,South America,2036,Cloud Providers,Business,5,152638.36,0,Low,1.23,90,0.15,82,64.28,288169570.04
2023-02-06,OEM,Tesla V100,South America,2588,Gamers,Business,4.2,10127.05,11,Medium,2.22,36,0.07,82,38.66,374140834235.66
2010-10-30,OEM,Tesla T4,South America,2104,AI Researchers,Individual,2.5,37187.69,17,Medium,4.5,68,0.21,54,63.85,281779673.59
1997-09-12,OEM,RTX 4090,South America,2667,Gamers,Individual,5,88221.98,20,Medium,3.87,35,0.09,89,43.12,317326524.05
2009-10-01,OEM,Tesla T4,South America,794,Gamers,Individual,4.5,32712.78,8,Medium,3.06,10,0.24,79,68.45,311486922.2
2015-07-03,OEM,RTX 3080,South America,3204,Cloud Providers,Individual,1.8,197659.26,2,Low,3.1,58,0.15,70,65.71,280087517.73
2010-01-10,Gaming,Quadro P2200,South America,3178,Gamers,Individual,2,114907.15,17,Low,3.38,30,0.09,86,66.03,308522091.76
2018-12-14,OEM,Tesla V100,South America,1740,Gamers,Business,3.5,20567.67,11,Medium,3.73,60,0.09,63,49.97,1413982969.8
2003-12-19,AI,RTX 3080,South America,3678,Educational Institutions,Individual,3.6,131105.82,18,High,0.41,80,0.29,50,41.06,307920827.41
2019-07-25,Gaming,Tesla V100,South America,3271,Educational Institutions,Individual,4.7,13697.33,9,Low,1.66,64,0.26,81,35.55,2645348566.41
2017-03-30,Data Center,Tesla T4,South America,4159,AI Researchers,Individual,2.5,69620.19,3,Low,2.58,24,0.22,76,32.28,313491083.59
2004-04-12,OEM,Quadro P2200,South America,1385,Educational Institutions,Business,2.7,198820.75,8,High,0.99,59,0.08,80,48.71,281018346.28
2000-05-10,OEM,Tesla V100,South America,3425,Educational Institutions,Business,1.7,83862.43,8,Medium,2.55,10,0.27,74,40.67,313501345.11
2020-10-09,Gaming,Quadro P2200,South America,3454,Cloud Providers,Individual,3.7,126955.5,22,Low,1.7,30,0.18,62,31.45,4854134239.28
2016-08-30,AI,Quadro P2200,South America,4144,Educational Institutions,Business,2.9,198845.43,20,Medium,4.56,10,0.2,66,42.76,306359681.65
1998-05-08,Data Center,RTX 3080,South America,957,Educational Institutions,Individual,4.5,138588.77,9,Low,1.41,81,0.27,64,53.47,314381535.96
2012-01-29,Data Center,RTX 4090,South America,3489,Cloud Providers,Individual,4.1,187768.81,22,Medium,1.63,50,0.28,58,54.32,319312414.93
2002-06-14,OEM,RTX 3080,South America,4560,Educational Institutions,Business,4.3,146642.51,5,High,0.63,23,0.12,74,54.22,288533729.85
2017-08-19,Gaming,Tesla V100,South America,1735,Educational Institutions,Individual,1.6,95493.89,15,Medium,0.57,51,0.17,54,30,288296347.43
1993-07-31,Data Center,Tesla T4,South America,4308,Cloud Providers,Individual,3.8,126111.78,16,Medium,1.67,71,0.07,67,40.61,1397471898.61
2013-04-05,AI,RTX 4090,South America,744,Cloud Providers,Business,4.5,64170.41,20,Medium,1.91,65,0.15,62,43.44,316158532.91
1994-03-13,AI,Quadro P2200,South America,1705,Educational Institutions,Business,3.9,13296.79,13,High,3.76,56,0.28,52,66.74,1926804092.12
2011-07-08,Gaming,Tesla T4,South America,442,Gamers,Individual,1.8,186446.79,10,Low,2.92,28,0.09,80,68.94,290655805.52
1998-04-06,AI,Tesla T4,South America,2705,AI Researchers,Business,3.9,84496.06,17,Medium,0.53,55,0.24,86,50.78,284483199.8
2000-04-18,Data Center,RTX 4090,South America,3836,AI Researchers,Business,4.4,125605.91,5,High,1.17,82,0.23,75,34.12,283432532.11
2016-03-03,Data Center,RTX 4090,South America,1999,Gamers,Business,3.7,142648.41,25,Low,0.3,12,0.17,50,63.39,313026300.35
2019-12-12,Gaming,Tesla T4,South America,2810,Cloud Providers,Individual,1.8,76210.53,14,High,3.15,62,0.14,65,44.57,5781284771.16
2004-10-11,Data Center,RTX 4090,South America,1207,AI Researchers,Individual,3.5,180696.17,24,Medium,2.58,68,0.26,83,31.36,308238725.65
2001-12-13,AI,Tesla V100,South America,1662,Educational Institutions,Business,3,44087.11,16,Low,2.36,36,0.19,68,59.42,287348180.39
2005-03-17,AI,Tesla V100,South America,3601,Gamers,Individual,3.1,63679.33,4,High,3.42,14,0.12,64,59.6,310371994.68
1995-06-06,AI,Tesla T4,South America,4550,Educational Institutions,Individual,1.6,185606.33,3,Medium,4.56,36,0.15,82,46.16,284981894.54
2015-09-06,Data Center,Quadro P2200,South America,2830,Cloud Providers,Business,3.6,123804.9,21,Medium,2.28,30,0.1,61,65.96,295804315.2
1993-04-07,AI,Tesla V100,South America,2154,Gamers,Individual,4.1,116049.71,16,Low,4.25,17,0.3,62,65.97,1704756288.67
2009-04-15,Gaming,RTX 3080,South America,3527,Gamers,Individual,3.8,155658.18,9,Medium,4.81,43,0.25,68,31.67,313674692.14
1999-10-08,OEM,RTX 4090,South America,3183,Gamers,Business,2.1,64334.49,22,Low,2.25,32,0.14,88,42.18,297214281.18
2012-03-12,Gaming,Tesla T4,South America,3700,Gamers,Individual,3.9,135127.29,11,Medium,1.37,20,0.15,66,63.48,291226510.57
2011-05-27,OEM,RTX 4090,South America,3256,Cloud Providers,Business,4.7,62019.56,13,Medium,1.73,33,0.09,81,54.25,306015698.95
2004-09-28,Data Center,Tesla V100,South America,4576,Gamers,Individual,2.3,17281.46,0,Low,3.82,48,0.13,62,44.48,305573026.26
2003-01-04,OEM,RTX 3080,South America,227,Educational Institutions,Individual,3,84096.76,24,Medium,0.69,29,0.18,55,62.08,311263945.46
1996-09-22,OEM,RTX 3080,South America,377,AI Researchers,Business,1.2,142837.01,20,Low,1.59,65,0.15,63,62.19,283004442.14
2004-10-08,AI,Tesla V100,South America,3754,AI Researchers,Business,2.9,133309.36,7,High,3.05,33,0.27,64,66.1,283530696.82
2007-12-09,Gaming,Tesla V100,South America,1276,Educational Institutions,Individual,1.8,61568.38,9,Medium,1.94,64,0.24,70,69.74,299531638.8
2012-09-26,Data Center,Tesla V100,South America,1508,Gamers,Business,1.8,104551.75,20,Low,0.69,56,0.24,76,51.95,299743480.03
1994-12-22,AI,RTX 3080,South America,4649,Educational Institutions,Business,2.2,111634.86,17,Low,0.87,65,0.1,66,53.57,1690045797.9
1994-02-27,OEM,Quadro P2200,South America,2939,Educational Institutions,Individual,1.1,11251.15,9,Medium,1.89,85,0.27,60,64.24,1783257967.65
2020-03-21,Gaming,Quadro P2200,South America,948,Cloud Providers,Business,3.5,47699.43,21,Low,2.6,64,0.17,71,57.71,2219227988.48
1994-05-28,AI,Quadro P2200,South America,2307,Educational Institutions,Business,4.1,26946.68,20,High,3.12,80,0.16,57,33.02,1524656800.55
2010-03-17,Data Center,Tesla T4,South America,3519,AI Researchers,Business,1.3,102090.09,24,High,4.15,68,0.26,83,37.38,315123258.53
2020-07-07,Data Center,Quadro P2200,South America,4614,Cloud Providers,Business,4.1,43751.1,18,Low,2.64,64,0.06,76,33.26,2818139426.57
1995-07-18,OEM,RTX 4090,South America,1129,Educational Institutions,Individual,3.5,132517,2,High,1.48,59,0.16,84,42.52,310465514.82
2006-09-25,Gaming,RTX 3080,South America,1451,Educational Institutions,Business,2.5,195104,18,Medium,1,80,0.16,78,38.36,317367123.82
2021-11-12,Data Center,Quadro P2200,South America,1259,Cloud Providers,Business,2.7,61418.4,2,High,0.18,14,0.21,70,37.32,37804648005.16
2003-05-20,OEM,RTX 4090,South America,1486,AI Researchers,Individual,3.3,29581.42,21,Low,2.37,70,0.28,90,44.48,285716013.44
2009-02-02,Data Center,Quadro P2200,South America,4286,Gamers,Individual,1.1,124756.96,20,High,2.49,27,0.09,56,56.28,303494872.15
2002-03-27,AI,RTX 4090,South America,2572,Educational Institutions,Individual,4.5,147630.36,5,High,1.75,68,0.26,64,67.27,318834737.27
2013-01-28,AI,RTX 4090,South America,835,AI Researchers,Individual,1.7,184994.46,21,Low,0.48,22,0.15,60,47.34,305367070.71
2017-11-08,OEM,RTX 4090,South America,1048,Educational Institutions,Business,5,62051.67,13,Low,1.47,39,0.15,90,61.1,299873805.29
2012-06-20,OEM,Tesla T4,South America,241,AI Researchers,Individual,2.2,35265.81,0,Low,0.74,61,0.05,86,61.76,313751938.2
2003-05-08,AI,Quadro P2200,South America,2158,Cloud Providers,Individual,2.1,22891.14,7,High,3.12,78,0.06,70,43.98,302906169.97
2014-01-20,OEM,RTX 3080,South America,761,Educational Institutions,Individual,2.6,78523.35,9,Medium,3.45,12,0.25,90,32.22,290046455.26
2013-06-24,Gaming,Tesla V100,South America,1989,AI Researchers,Individual,3.1,119633.52,11,Medium,3.54,18,0.18,89,57.98,301611358.03
2008-09-23,Gaming,Tesla V100,South America,3968,Cloud Providers,Individual,2.1,48459.25,23,High,3.79,28,0.23,84,38.36,299413292.05
2017-01-20,Data Center,RTX 3080,South America,2575,AI Researchers,Business,3,168260.49,7,High,4.58,53,0.13,60,43.99,286342241.33
1996-12-06,Gaming,Tesla V100,South America,782,Educational Institutions,Individual,1.5,60899.41,5,High,3.04,23,0.17,60,39.2,311513796.1
1996-01-09,OEM,Tesla V100,South America,4982,Cloud Providers,Individual,1.5,123604.33,3,Low,4.15,53,0.23,50,38.23,316967908.8
2018-03-26,Data Center,Tesla T4,South America,2296,Gamers,Business,4.8,74251.37,7,Low,1.12,64,0.27,84,34.49,1142675017.44
2016-03-16,Gaming,Tesla V100,South America,987,Gamers,Individual,4.5,165151.83,13,Medium,0.12,40,0.29,59,46.13,293855488.31
2009-10-31,Data Center,RTX 4090,South America,3524,Educational Institutions,Business,4.9,56194.95,18,Medium,3.08,72,0.08,82,46.61,319165142.68
2005-05-16,Data Center,Quadro P2200,South America,303,Educational Institutions,Individual,4.2,121555.74,19,High,3.31,25,0.22,51,61.94,308193985.36
2001-04-02,AI,Tesla V100,South America,3894,Cloud Providers,Business,3.1,89254.26,17,Medium,0.18,62,0.23,61,44.72,288268560.67
2021-07-16,Data Center,RTX 3080,South America,1307,AI Researchers,Business,1.6,91728.85,22,High,3.41,88,0.1,65,30.04,56830684012.35
2013-10-29,Data Center,Tesla T4,South America,1168,Educational Institutions,Individual,4.1,193877.07,5,Medium,1.96,72,0.23,70,50.89,302266779.1
2010-01-07,OEM,Tesla V100,South America,2664,AI Researchers,Individual,1.6,193712.49,19,Low,4.53,53,0.12,86,37.81,293393133.66
2012-03-23,Data Center,Tesla T4,South America,1033,Educational Institutions,Individual,1.9,61064.81,21,High,3.67,70,0.08,82,33.38,304842926.72
2013-12-24,Data Center,Tesla T4,South America,2993,AI Researchers,Business,1.2,133249.22,6,High,1.32,53,0.26,83,67.69,286983749.21
2017-04-27,OEM,RTX 3080,South America,3958,AI Researchers,Business,3.7,66380.62,2,Medium,2.42,42,0.26,78,59.55,304949398.76
2018-12-27,OEM,Quadro P2200,South America,1467,Educational Institutions,Business,3.6,57607.97,10,High,0.12,73,0.26,58,66.19,1585392454.09
2003-08-22,Gaming,Tesla V100,South America,1434,Cloud Providers,Business,4.1,45615.28,22,Low,3.94,22,0.09,55,61.17,319690097.85
1993-05-27,AI,Tesla V100,South America,610,AI Researchers,Business,4.8,20232.58,3,Medium,3.69,33,0.13,90,65.92,1329604351.81
1993-11-17,Data Center,Tesla V100,South America,3133,Gamers,Individual,4.6,29988.96,5,Low,3.98,10,0.17,73,64.17,1097939859.07
1999-09-09,AI,RTX 4090,South America,873,Cloud Providers,Individual,4,186371.8,10,High,2.29,13,0.25,65,48.6,303056200.55
2007-12-20,Data Center,Tesla T4,South America,3382,Gamers,Business,4.6,173073.83,24,Low,4.52,48,0.07,82,52.65,295241364.68
2021-07-03,AI,RTX 3080,South America,1063,Gamers,Individual,3.5,199813.58,14,Low,2.37,63,0.29,61,49.43,35189831773.83
2013-08-13,Gaming,RTX 3080,South America,3114,Cloud Providers,Business,3.8,97759.63,1,High,2.44,56,0.19,54,57.3,285024558.93
2022-07-04,AI,RTX 4090,South America,3981,Cloud Providers,Business,1.3,37841.03,13,Low,1.03,51,0.3,52,61.39,270402802225.67
2005-10-24,OEM,RTX 4090,South America,2990,Gamers,Business,1,65929.12,22,High,4.89,24,0.27,78,38.47,294949153.85
1998-04-12,Data Center,RTX 3080,South America,1488,Educational Institutions,Business,3.6,117085.84,19,Medium,2.37,79,0.05,77,31.11,317436022.26
2020-07-11,OEM,Quadro P2200,South America,1251,Educational Institutions,Individual,2.9,164514.46,19,High,4.62,48,0.28,63,67.02,4686488470.54
